"Week","christmas","amazon","rakhi","diwali","country"
2021-01-03,8,43,0,0,"UK"
2021-01-10,4,45,0,0,"UK"
2016-01-17,1,28,1,1,"India"
2016-01-24,0,19,1,1,"India"
2016-01-31,0,18,1,0,"India"
2016-02-07,0,17,1,0,"India"
2016-02-14,0,18,1,0,"India"
2016-02-21,0,16,1,0,"India"
2016-02-28,0,17,1,0,"India"
2016-03-06,0,19,1,0,"India"
2016-03-13,0,19,1,0,"India"
2016-03-20,0,19,1,0,"India"
2016-03-27,0,22,1,0,"India"
2016-04-03,0,20,1,0,"India"
2016-04-10,0,19,1,0,"India"
2016-04-17,0,18,1,0,"India"
2016-04-24,0,17,1,0,"India"
2016-05-01,0,18,1,0,"India"
2016-05-08,0,17,1,0,"India"
2016-05-15,0,17,1,0,"India"
2016-05-22,0,17,1,0,"India"
2016-05-29,0,19,1,1,"India"
2016-06-05,0,19,1,1,"India"
2016-06-12,0,19,1,1,"India"
2016-06-19,0,18,1,1,"India"
2016-06-26,0,19,1,1,"India"
2016-07-03,0,23,1,1,"India"
2016-07-10,0,20,1,1,"India"
2016-07-17,0,20,2,1,"India"
2016-07-24,0,24,2,1,"India"
2016-07-31,0,22,4,1,"India"
2016-08-07,0,29,6,1,"India"
2016-08-14,0,20,15,1,"India"
2016-08-21,0,19,1,1,"India"
2016-08-28,0,20,1,1,"India"
2016-09-04,0,20,1,2,"India"
2016-09-11,0,19,1,2,"India"
2016-09-18,0,19,1,2,"India"
2016-09-25,0,29,1,3,"India"
2016-10-02,0,43,1,5,"India"
2016-10-09,1,25,1,9,"India"
2016-10-16,0,34,0,16,"India"
2016-10-23,1,29,1,72,"India"
2016-10-30,1,21,1,37,"India"
2016-11-06,1,16,1,3,"India"
2016-11-13,2,16,1,2,"India"
2016-11-20,2,17,1,1,"India"
2016-11-27,5,18,1,1,"India"
2016-12-04,7,17,1,1,"India"
2016-12-11,9,19,1,1,"India"
2016-12-18,32,19,1,1,"India"
2016-12-25,18,19,1,1,"India"
2017-01-01,1,19,1,1,"India"
2017-01-08,1,20,1,1,"India"
2017-01-15,1,25,1,1,"India"
2017-01-22,0,23,1,0,"India"
2017-01-29,0,18,1,0,"India"
2017-02-05,0,18,1,0,"India"
2017-02-12,0,18,1,0,"India"
2017-02-19,0,18,1,0,"India"
2017-02-26,0,18,1,0,"India"
2017-03-05,0,17,1,1,"India"
2017-03-12,0,18,1,1,"India"
2017-03-19,0,20,1,0,"India"
2017-03-26,0,20,1,0,"India"
2017-04-02,0,19,1,0,"India"
2017-04-09,0,19,1,0,"India"
2017-04-16,0,19,1,0,"India"
2017-04-23,0,18,1,0,"India"
2017-04-30,0,18,1,0,"India"
2017-05-07,0,28,1,0,"India"
2017-05-14,0,22,1,1,"India"
2017-05-21,0,19,1,1,"India"
2017-05-28,0,18,1,1,"India"
2017-06-04,0,19,1,1,"India"
2017-06-11,0,20,1,1,"India"
2017-06-18,0,24,1,1,"India"
2017-06-25,0,23,1,1,"India"
2017-07-02,0,21,1,1,"India"
2017-07-09,0,21,2,1,"India"
2017-07-16,0,20,3,1,"India"
2017-07-23,0,20,4,1,"India"
2017-07-30,0,22,9,1,"India"
2017-08-06,0,30,11,1,"India"
2017-08-13,0,24,1,2,"India"
2017-08-20,0,22,1,2,"India"
2017-08-27,0,23,1,2,"India"
2017-09-03,0,24,1,2,"India"
2017-09-10,0,24,1,3,"India"
2017-09-17,0,40,1,3,"India"
2017-09-24,0,31,1,5,"India"
2017-10-01,0,40,1,10,"India"
2017-10-08,1,35,1,21,"India"
2017-10-15,1,32,1,100,"India"
2017-10-22,1,22,0,5,"India"
2017-10-29,1,22,0,3,"India"
2017-11-05,1,22,1,1,"India"
2017-11-12,1,23,1,2,"India"
2017-11-19,2,22,1,1,"India"
2017-11-26,4,23,1,1,"India"
2017-12-03,6,23,1,1,"India"
2017-12-10,9,23,1,1,"India"
2017-12-17,19,24,1,1,"India"
2017-12-24,35,26,1,1,"India"
2017-12-31,2,22,1,1,"India"
2018-01-07,1,22,1,1,"India"
2018-01-14,1,24,1,1,"India"
2018-01-21,1,32,0,1,"India"
2018-01-28,1,22,1,1,"India"
2018-02-04,0,21,1,0,"India"
2018-02-11,0,21,1,0,"India"
2018-02-18,0,20,1,0,"India"
2018-02-25,0,20,1,1,"India"
2018-03-04,0,21,1,1,"India"
2018-03-11,0,21,1,0,"India"
2018-03-18,0,21,1,1,"India"
2018-03-25,0,23,1,1,"India"
2018-04-01,0,22,1,0,"India"
2018-04-08,0,20,1,0,"India"
2018-04-15,0,20,1,0,"India"
2018-04-22,0,19,1,0,"India"
2018-04-29,0,19,1,1,"India"
2018-05-06,0,19,1,1,"India"
2018-05-13,0,22,1,1,"India"
2018-05-20,0,20,1,1,"India"
2018-05-27,0,21,1,1,"India"
2018-06-03,0,21,1,1,"India"
2018-06-10,0,21,1,1,"India"
2018-06-17,0,20,1,1,"India"
2018-06-24,0,20,1,1,"India"
2018-07-01,0,20,1,1,"India"
